"Afghanistan","Kabul"
"Albania","Tirana"
"Algeria","Algiers"
"American Samoa","Pago Pago"
"Andorra","Andorra la Vella"
"Angola","Luanda"
"Anguilla","The Valley"
"Antigua And Barbuda","St. John's"
"Argentina","Buenos Aires"
"Armenia","Yerevan"
"Aruba","Oranjestad"
"Australia","Canberra"
"Austria","Vienna"
"Azerbaijan","Baku"
"Bahamas","Nassau"
"Bahrain","Manama"
"Bangladesh","Dhaka"
"Barbados","Bridgetown"
"Belarus","Minsk"
"Belgium","Brussels"
"Belize","Belmopan"
"Benin","Porto-Novo"
"Bermuda","Hamilton"
"Bhutan","Thimphu"
"Bolivia","Sucre"
"Bosnia And Herzegovina","Sarajevo"
"Botswana","Gaborone"
"Brazil","Brasilia"
"British Indian Ocean Territory","Camp Justice"
"British Virgin Islands","Road Town"
"Brunei","Bandar Seri Begawan"
"Bulgaria","Sofia"
"Burkina Faso","Ouagadougou"
"Burma","Naypyidaw"
"Burundi","Bujumbura"
"Cambodia","Phnom Penh"
"Cameroon","Yaounde"
"Canada","Ottawa"
"Cape Verde","Praia"
"Cayman Islands","George Town"
"Central African Republic","Bangui"
"Chad","N'Djamena"
"Chile","Santiago"
"China","Beijing"
"Colombia","Bogota"
"Comoros","Moroni"
"Congo Democratic Republic","Kinshasa"
"Congo Republic","Brazzaville"
"Cook Islands","Avarua"
"Costa Rica","San Jose"
"Cote Divoire","Yamoussoukro"
"Croatia","Zagreb"
"Cuba","Havana"
"Cyprus","Nicosia"
"Czech Republic","Prague"
"Denmark","Copenhagen"
"Djibouti","Djibouti"
"Dominica","Roseau"
"Dominican Republic","Santo Domingo"
"East Timor","Dili"
"Egypt","Cairo"
"El Salvador","San Salvador"
"England","London"
"Ecuador","Quito"   
"Equatorial Guinea","Malabo"
"Eritrea","Asmara"
"Estonia","Tallinn"
"Ethiopia","Addis Ababa"
"Falkland Islands","Stanley"
"Faroe Islands","Torshavn"
"Fiji","Suva"
"Finland","Helsinki"
"France","Paris"
"French Polynesia","Papeete"
"Gabon","Libreville"
"Gambia","Banjul"
"Georgia","Tbilisi"
"Germany","Berlin"
"Ghana","Accra"
"Gibraltar","Gibraltar"
"Great Britain","London"
"Greece","Athens"
"Greenland","Nuuk"
"Grenada","St. George's"
"Guam","Hagatna"
"Guatemala","Guatemala City"
"Guernsey","St. Peter Port"
"Guinea","Conakry"
"Guinea Bissau","Bissau"
"Guyana","Georgetown"
"Haiti","Port-au-Prince"
"Honduras","Tegucigalpa"
"Hong Kong","Hong Kong"
"Hungary","Budapest"
"Iceland","Reykjavik"
"India","New Delhi"
"Indonesia","Jakarta"
"Iran","Tehran"
"Iraq","Baghdad"
"Ireland","Dublin"
"Isle Of Man","Douglas"
"Israel","Jerusalem"
"Italy","Rome"
"Jamaica","Kingston"
"Japan","Tokyo"
"Jersey","St. Helier"
"Jordan","Amman"
"Kazakhstan","Astana"
"Kenya","Nairobi"
"Kiribati","Tarawa"
"Kuwait","Kuwait City"
"Kyrgyzstan","Bishkek"
"Laos","Vientiane"
"Latvia","Riga"
"Lebanon","Beirut"
"Lesotho","Maseru"
"Liberia","Monrovia"
"Libya","Tripoli"
"Liechtenstein","Vaduz"
"Lithuania","Vilnius"
"Luxembourg","Luxembourg"
"Macau","Macau"
"Macedonia","Skopje"
"Madagascar","Antananarivo"
